,Team,Opponent,Year,Goals,OppGoals,Rating,OppRating,HF,HomeAway
0,Portsmouth,Fulham,2009,0,1,1729.393688155988,1750.2716373869036,52.70260460923155,1
1,Fulham,Portsmouth,2009,1,0,1750.2716373869036,1729.393688155988,52.70260460923155,-1
2,Bolton Wanderers,Sunderland,2009,0,1,1713.6195253071471,1671.675424802406,52.70260460923155,1
3,Sunderland,Bolton Wanderers,2009,1,0,1671.675424802406,1713.6195253071471,52.70260460923155,-1
4,Blackburn Rovers,Manchester City,2009,0,2,1753.7384060433037,1747.577803068432,52.70260460923155,1
5,Manchester City,Blackburn Rovers,2009,2,0,1747.577803068432,1753.7384060433037,52.70260460923155,-1
6,Stoke City,Burnley,2009,2,0,1699.737448034208,1635.5087279723475,52.70260460923155,1
7,Burnley,Stoke City,2009,0,2,1635.5087279723475,1699.737448034208,52.70260460923155,-1
8,Everton,Arsenal,2009,1,6,1844.2424798732677,1934.3510881144173,52.70260460923155,1
9,Arsenal,Everton,2009,6,1,1934.3510881144173,1844.2424798732677,52.70260460923155,-1
10,Chelsea,Hull City,2009,2,1,1997.5373313312612,1629.0291201357936,52.70260460923155,1
11,Hull City,Chelsea,2009,1,2,1629.0291201357936,1997.5373313312612,52.70260460923155,-1
12,Wolverhampton Wanderers,West Ham United,2009,0,2,1694.6253639101328,1753.7639606949053,52.70260460923155,1
13,West Ham United,Wolverhampton Wanderers,2009,2,0,1753.7639606949053,1694.6253639101328,52.70260460923155,-1
14,Aston Villa,Wigan Athletic,2009,0,2,1810.0670564603302,1710.547168666685,52.70260460923155,1
15,Wigan Athletic,Aston Villa,2009,2,0,1710.547168666685,1810.0670564603302,52.70260460923155,-1
16,Tottenham Hotspur,Liverpool,2009,2,1,1786.8874155900755,1964.6517413964914,52.70260460923155,1
17,Liverpool,Tottenham Hotspur,2009,1,2,1964.6517413964914,1786.8874155900755,52.70260460923155,-1
18,Manchester United,Birmingham City,2009,1,0,2013.6380972612567,1696.8147973172738,52.70260460923155,1
19,Birmingham City,Manchester United,2009,0,1,1696.8147973172738,2013.6380972612567,52.70260460923155,-1
20,Sunderland,Chelsea,2009,1,3,1680.408169993206,1998.6591781463087,52.70260460923155,1
21,Chelsea,Sunderland,2009,3,1,1998.6591781463087,1680.408169993206,52.70260460923155,-1
22,Wigan Athletic,Wolverhampton Wanderers,2009,0,1,1720.288654647297,1687.854533271482,52.70260460923155,1
23,Wolverhampton Wanderers,Wigan Athletic,2009,1,0,1687.854533271482,1720.288654647297,52.70260460923155,-1
24,Liverpool,Stoke City,2009,4,0,1955.3719013797559,1704.3981560810012,52.70260460923155,1
25,Stoke City,Liverpool,2009,0,4,1704.3981560810012,1955.3719013797559,52.70260460923155,-1
26,Burnley,Manchester United,2009,1,0,1630.8480199255544,2015.1072896714415,52.70260460923155,1
27,Manchester United,Burnley,2009,0,1,2015.1072896714415,1630.8480199255544,52.70260460923155,-1
28,Hull City,Tottenham Hotspur,2009,1,5,1627.907273320746,1796.167255606811,52.70260460923155,1
29,Tottenham Hotspur,Hull City,2009,5,1,1796.167255606811,1627.907273320746,52.70260460923155,-1
30,Birmingham City,Portsmouth,2009,1,0,1695.345604907089,1721.8649381634916,52.70260460923155,1
31,Portsmouth,Birmingham City,2009,0,1,1721.8649381634916,1695.345604907089,52.70260460923155,-1
32,Arsenal,Portsmouth,2009,4,1,1940.5098266084613,1715.4852379694453,50.89973213629647,1
33,Portsmouth,Arsenal,2009,1,4,1715.4852379694453,1940.5098266084613,50.89973213629647,-1
34,Sunderland,Blackburn Rovers,2009,2,1,1677.9495646875475,1745.6820787194554,50.89973213629647,1
35,Blackburn Rovers,Sunderland,2009,1,2,1745.6820787194554,1677.9495646875475,50.89973213629647,-1
36,Hull City,Bolton Wanderers,2009,1,0,1623.2221241280622,1704.8867801163472,50.89973213629647,1
37,Bolton Wanderers,Hull City,2009,0,1,1704.8867801163472,1623.2221241280622,50.89973213629647,-1
38,Manchester City,Wolverhampton Wanderers,2009,1,0,1755.6341303922804,1696.4105561119754,50.89973213629647,1
39,Wolverhampton Wanderers,Manchester City,2009,0,1,1696.4105561119754,1755.6341303922804,50.89973213629647,-1
40,Birmingham City,Stoke City,2009,0,0,1701.7253051011353,1702.3522111122527,50.89973213629647,1
41,Stoke City,Birmingham City,2009,0,0,1702.3522111122527,1701.7253051011353,50.89973213629647,-1
42,Wigan Athletic,Manchester United,2009,0,5,1711.7326318068037,2003.091831966189,50.89973213629647,1
43,Manchester United,Wigan Athletic,2009,5,0,2003.091831966189,1711.7326318068037,50.89973213629647,-1
44,Fulham,Chelsea,2009,0,2,1757.8003873794,2001.1177834519672,50.89973213629647,1
45,Chelsea,Fulham,2009,2,0,2001.1177834519672,1757.8003873794,50.89973213629647,-1
46,West Ham United,Tottenham Hotspur,2009,1,2,1760.534791333556,1800.852404799495,50.89973213629647,1
47,Tottenham Hotspur,West Ham United,2009,2,1,1800.852404799495,1760.534791333556,50.89973213629647,-1
48,Burnley,Everton,2009,1,0,1642.863477630807,1838.0837413792237,50.89973213629647,1
49,Everton,Burnley,2009,0,1,1838.0837413792237,1642.863477630807,50.89973213629647,-1
50,Liverpool,Aston Villa,2009,1,3,1957.4178463485043,1800.325570479718,50.89973213629647,1
51,Aston Villa,Liverpool,2009,3,1,1800.325570479718,1957.4178463485043,50.89973213629647,-1
52,Wolverhampton Wanderers,Hull City,2009,1,1,1691.6281368525874,1630.7300021291292,51.076630493573155,1
53,Hull City,Wolverhampton Wanderers,2009,1,1,1630.7300021291292,1691.6281368525874,51.076630493573155,-1
54,Manchester United,Arsenal,2009,2,1,2005.855910294033,1942.8500611608783,51.076630493573155,1
55,Arsenal,Manchester United,2009,1,2,1942.8500611608783,2005.855910294033,51.076630493573155,-1
56,Bolton Wanderers,Liverpool,2009,2,3,1697.3789021152802,1946.8209804616913,51.076630493573155,1
57,Liverpool,Bolton Wanderers,2009,3,2,1946.8209804616913,1697.3789021152802,51.076630493573155,-1
58,Blackburn Rovers,West Ham United,2009,0,0,1738.4495040871122,1753.4261322387504,51.076630493573155,1
59,West Ham United,Blackburn Rovers,2009,0,0,1753.4261322387504,1738.4495040871122,51.076630493573155,-1
60,Stoke City,Sunderland,2009,1,0,1703.3435090599587,1685.1821393198907,51.076630493573155,1
61,Sunderland,Stoke City,2009,0,1,1685.1821393198907,1703.3435090599587,51.076630493573155,-1
62,Chelsea,Burnley,2009,3,0,2004.5437724107874,1652.4734994528137,51.076630493573155,1
63,Burnley,Chelsea,2009,0,3,1652.4734994528137,2004.5437724107874,51.076630493573155,-1
64,Tottenham Hotspur,Birmingham City,2009,2,1,1807.9610638943007,1700.7340071534293,51.076630493573155,1
65,Birmingham City,Tottenham Hotspur,2009,1,2,1700.7340071534293,1807.9610638943007,51.076630493573155,-1
66,Aston Villa,Fulham,2009,2,0,1810.922436366531,1754.3743984205798,51.076630493573155,1
67,Fulham,Aston Villa,2009,0,2,1754.3743984205798,1810.922436366531,51.076630493573155,-1
68,Portsmouth,Manchester City,2009,0,1,1713.1450034170282,1760.4165496516684,51.076630493573155,1
69,Manchester City,Portsmouth,2009,1,0,1760.4165496516684,1713.1450034170282,51.076630493573155,-1
70,Everton,Wigan Athletic,2009,2,1,1828.473719557217,1708.9685534789596,51.076630493573155,1
71,Wigan Athletic,Everton,2009,1,2,1708.9685534789596,1828.473719557217,51.076630493573155,-1
72,Blackburn Rovers,Wolverhampton Wanderers,2009,3,1,1737.7352784820682,1689.4787001644506,51.595992025643014,1
73,Wolverhampton Wanderers,Blackburn Rovers,2009,1,3,1689.4787001644506,1737.7352784820682,51.595992025643014,-1
74,Wigan Athletic,West Ham United,2009,1,0,1705.2087366929777,1754.1403578437944,51.595992025643014,1
75,West Ham United,Wigan Athletic,2009,0,1,1754.1403578437944,1705.2087366929777,51.595992025643014,-1
76,Stoke City,Chelsea,2009,1,2,1708.8852562643976,2005.7775612793919,51.595992025643014,1
77,Chelsea,Stoke City,2009,2,1,2005.7775612793919,1708.8852562643976,51.595992025643014,-1
78,Sunderland,Hull City,2009,4,1,1679.6403921154517,1632.879438817266,51.595992025643014,1
79,Hull City,Sunderland,2009,1,4,1632.879438817266,1679.6403921154517,51.595992025643014,-1
80,Tottenham Hotspur,Manchester United,2009,1,3,1811.9172798592683,2010.5673655508633,51.595992025643014,1
81,Manchester United,Tottenham Hotspur,2009,3,1,2010.5673655508633,1811.9172798592683,51.595992025643014,-1
82,Manchester City,Arsenal,2009,4,2,1767.390707308849,1938.138605904048,51.595992025643014,1
83,Arsenal,Manchester City,2009,2,4,1938.138605904048,1767.390707308849,51.595992025643014,-1
84,Liverpool,Burnley,2009,4,0,1950.1595582385523,1651.2397105842092,51.595992025643014,1
85,Burnley,Liverpool,2009,0,4,1651.2397105842092,1950.1595582385523,51.595992025643014,-1
86,Portsmouth,Bolton Wanderers,2009,2,3,1706.1708457598477,1694.0403243384192,51.595992025643014,1
87,Bolton Wanderers,Portsmouth,2009,3,2,1694.0403243384192,1706.1708457598477,51.595992025643014,-1
88,Fulham,Everton,2009,2,1,1749.5469366296177,1832.233536343199,51.595992025643014,1
89,Everton,Fulham,2009,1,2,1832.233536343199,1749.5469366296177,51.595992025643014,-1
90,Birmingham City,Aston Villa,2009,0,1,1696.7777911884616,1815.7498981574931,51.595992025643014,1
91,Aston Villa,Birmingham City,2009,1,0,1815.7498981574931,1696.7777911884616,51.595992025643014,-1
92,West Ham United,Liverpool,2009,2,3,1747.29465226602,1951.7787135713866,52.18395101036697,1
93,Liverpool,West Ham United,2009,3,2,1951.7787135713866,1747.29465226602,52.18395101036697,-1
94,Burnley,Sunderland,2009,3,1,1649.620555251375,1684.6365965568768,52.18395101036697,1
95,Sunderland,Burnley,2009,1,3,1684.6365965568768,1649.620555251375,52.18395101036697,-1
96,Arsenal,Wigan Athletic,2009,4,0,1928.9627291920967,1712.0544422707521,52.18395101036697,1
97,Wigan Athletic,Arsenal,2009,0,4,1712.0544422707521,1928.9627291920967,52.18395101036697,-1
98,Aston Villa,Portsmouth,2009,2,0,1821.32722155168,1698.020899279025,52.18395101036697,1
99,Portsmouth,Aston Villa,2009,0,2,1698.020899279025,1821.32722155168,52.18395101036697,-1
100,Bolton Wanderers,Stoke City,2009,1,1,1702.190270819242,1706.1822073812925,52.18395101036697,1
101,Stoke City,Bolton Wanderers,2009,1,1,1706.1822073812925,1702.190270819242,52.18395101036697,-1
102,Hull City,Birmingham City,2009,0,1,1627.8832343758409,1691.2004677942748,52.18395101036697,1
103,Birmingham City,Hull City,2009,1,0,1691.2004677942748,1627.8832343758409,52.18395101036697,-1
104,Wolverhampton Wanderers,Fulham,2009,2,1,1684.5099014805537,1757.0612303666076,52.18395101036697,1
105,Fulham,Wolverhampton Wanderers,2009,1,2,1757.0612303666076,1684.5099014805537,52.18395101036697,-1
106,Chelsea,Tottenham Hotspur,2009,3,0,2008.480610162497,1807.7758361909118,52.18395101036697,1
107,Tottenham Hotspur,Chelsea,2009,0,3,1807.7758361909118,2008.480610162497,52.18395101036697,-1
108,Everton,Blackburn Rovers,2009,3,0,1824.719242606209,1742.7040771659651,52.18395101036697,1
109,Blackburn Rovers,Everton,2009,0,3,1742.7040771659651,1824.719242606209,52.18395101036697,-1
110,Manchester United,Manchester City,2009,4,3,2014.7088092192198,1776.5665840208003,52.18395101036697,1
111,Manchester City,Manchester United,2009,3,4,1776.5665840208003,2014.7088092192198,52.18395101036697,-1
112,Stoke City,Manchester United,2009,0,2,1707.133007914029,2016.8923199874832,52.00118877568921,1
113,Manchester United,Stoke City,2009,2,0,2016.8923199874832,1707.133007914029,52.00118877568921,-1
114,Blackburn Rovers,Aston Villa,2009,2,1,1738.3450412776674,1825.0102513838322,52.00118877568921,1
115,Aston Villa,Blackburn Rovers,2009,1,2,1825.0102513838322,1738.3450412776674,52.00118877568921,-1
116,Birmingham City,Bolton Wanderers,2009,1,2,1697.8780910458734,1701.2394702865056,52.00118877568921,1
117,Bolton Wanderers,Birmingham City,2009,2,1,1701.2394702865056,1697.8780910458734,52.00118877568921,-1
118,Portsmouth,Everton,2009,0,1,1694.3378694468727,1829.0782784945068,52.00118877568921,1
119,Everton,Portsmouth,2009,1,0,1829.0782784945068,1694.3378694468727,52.00118877568921,-1
120,Liverpool,Hull City,2009,6,1,1955.833163721583,1621.2056111242423,52.00118877568921,1
121,Hull City,Liverpool,2009,1,6,1621.2056111242423,1955.833163721583,52.00118877568921,-1
122,Tottenham Hotspur,Burnley,2009,5,0,1805.1665198745761,1656.1785577528897,52.00118877568921,1
123,Burnley,Tottenham Hotspur,2009,0,5,1656.1785577528897,1805.1665198745761,52.00118877568921,-1
124,Wigan Athletic,Chelsea,2009,3,1,1709.6367846742196,2011.0899264788327,52.00118877568921,1
125,Chelsea,Wigan Athletic,2009,1,3,2011.0899264788327,1709.6367846742196,52.00118877568921,-1
126,Fulham,Arsenal,2009,0,1,1749.7586749008708,1931.3803867886293,52.00118877568921,1
127,Arsenal,Fulham,2009,1,0,1931.3803867886293,1749.7586749008708,52.00118877568921,-1
128,Sunderland,Wolverhampton Wanderers,2009,5,2,1678.0785940553621,1691.8124569462905,52.00118877568921,1
129,Wolverhampton Wanderers,Sunderland,2009,2,5,1691.8124569462905,1678.0785940553621,52.00118877568921,-1
130,Manchester City,West Ham United,2009,3,1,1774.3830732525369,1743.2402021158234,52.00118877568921,1
131,West Ham United,Manchester City,2009,1,3,1743.2402021158234,1774.3830732525369,52.00118877568921,-1
132,Bolton Wanderers,Tottenham Hotspur,2009,2,2,1709.097599419938,1808.4670245585633,53.007929848849685,1
133,Tottenham Hotspur,Bolton Wanderers,2009,2,2,1808.4670245585633,1709.097599419938,53.007929848849685,-1
134,Burnley,Birmingham City,2009,2,1,1652.8780530689025,1690.019961912441,53.007929848849685,1
135,Birmingham City,Burnley,2009,1,2,1690.019961912441,1652.8780530689025,53.007929848849685,-1
136,Wolverhampton Wanderers,Portsmouth,2009,0,1,1685.6706194409562,1689.051746497764,53.007929848849685,1
137,Portsmouth,Wolverhampton Wanderers,2009,1,0,1689.051746497764,1685.6706194409562,53.007929848849685,-1
138,Hull City,Wigan Athletic,2009,2,1,1619.8607439160264,1720.7825670182117,53.007929848849685,1
139,Wigan Athletic,Hull City,2009,1,2,1720.7825670182117,1619.8607439160264,53.007929848849685,-1
140,Manchester United,Sunderland,2009,2,2,2019.442844264848,1684.2204315606964,53.007929848849685,1
141,Sunderland,Manchester United,2009,2,2,1684.2204315606964,2019.442844264848,53.007929848849685,-1
142,Everton,Stoke City,2009,1,1,1834.3644014436154,1704.5824836366642,53.007929848849685,1
143,Stoke City,Everton,2009,1,1,1704.5824836366642,1834.3644014436154,53.007929848849685,-1
144,West Ham United,Fulham,2009,2,2,1737.9616763287243,1745.3206690822292,53.007929848849685,1
145,Fulham,West Ham United,2009,2,2,1745.3206690822292,1737.9616763287243,53.007929848849685,-1
146,Chelsea,Liverpool,2009,2,0,1999.9441441348406,1957.178030929799,53.007929848849685,1
147,Liverpool,Chelsea,2009,0,2,1957.178030929799,1999.9441441348406,53.007929848849685,-1
148,Arsenal,Blackburn Rovers,2009,6,2,1935.8183926072709,1745.9296557806579,53.007929848849685,1
149,Blackburn Rovers,Arsenal,2009,2,6,1745.9296557806579,1935.8183926072709,53.007929848849685,-1
150,Aston Villa,Manchester City,2009,1,1,1817.4256368808417,1779.661599039636,53.007929848849685,1
151,Manchester City,Aston Villa,2009,1,1,1779.661599039636,1817.4256368808417,53.007929848849685,-1
152,Everton,Wolverhampton Wanderers,2009,1,1,1831.0364918658195,1677.7932795495012,52.19614648945731,1
153,Wolverhampton Wanderers,Everton,2009,1,1,1677.7932795495012,1831.0364918658195,52.19614648945731,-1
154,Stoke City,West Ham United,2009,2,1,1707.91039321446,1737.0604605546043,52.19614648945731,1
155,West Ham United,Stoke City,2009,1,2,1737.0604605546043,1707.91039321446,52.19614648945731,-1
156,Portsmouth,Tottenham Hotspur,2009,1,2,1696.929086389219,1807.5519055820039,52.19614648945731,1
157,Tottenham Hotspur,Portsmouth,2009,2,1,1807.5519055820039,1696.929086389219,52.19614648945731,-1
158,Sunderland,Liverpool,2009,1,0,1689.7853211200843,1952.13434457251,52.19614648945731,1
159,Liverpool,Sunderland,2009,0,1,1952.13434457251,1689.7853211200843,52.19614648945731,-1
160,Manchester United,Bolton Wanderers,2009,2,1,2013.87795470546,1710.0127183964973,52.19614648945731,1
161,Bolton Wanderers,Manchester United,2009,1,2,1710.0127183964973,2013.87795470546,52.19614648945731,-1
162,Aston Villa,Chelsea,2009,2,1,1815.6632066428408,2004.9878304921297,52.19614648945731,1
163,Chelsea,Aston Villa,2009,1,2,2004.9878304921297,1815.6632066428408,52.19614648945731,-1
164,Arsenal,Birmingham City,2009,3,1,1938.5515910679192,1683.4361677470142,52.19614648945731,1
165,Birmingham City,Arsenal,2009,1,3,1683.4361677470142,1938.5515910679192,52.19614648945731,-1
166,Blackburn Rovers,Burnley,2009,3,2,1743.1964573200096,1659.4618472343293,52.19614648945731,1
167,Burnley,Blackburn Rovers,2009,2,3,1659.4618472343293,1743.1964573200096,52.19614648945731,-1
168,Wigan Athletic,Manchester City,2009,1,1,1712.9385767704416,1781.424029277637,52.19614648945731,1
169,Manchester City,Wigan Athletic,2009,1,1,1781.424029277637,1712.9385767704416,52.19614648945731,-1
170,Fulham,Hull City,2009,2,0,1746.221884856349,1627.7047341637965,52.19614648945731,1
171,Hull City,Fulham,2009,0,2,1627.7047341637965,1746.221884856349,52.19614648945731,-1
172,Hull City,Portsmouth,2009,0,0,1623.9469875433406,1691.1797728548088,54.24904443748666,1
173,Portsmouth,Hull City,2009,0,0,1691.1797728548088,1623.9469875433406,54.24904443748666,-1
174,Birmingham City,Sunderland,2009,2,1,1681.4264198381018,1700.4126600865188,54.24904443748666,1
175,Sunderland,Birmingham City,2009,1,2,1700.4126600865188,1681.4264198381018,54.24904443748666,-1
176,Tottenham Hotspur,Stoke City,2009,0,1,1813.3012191164141,1714.352072807026,54.24904443748666,1
177,Stoke City,Tottenham Hotspur,2009,1,0,1714.352072807026,1813.3012191164141,54.24904443748666,-1
178,Chelsea,Blackburn Rovers,2009,5,0,1995.4995253168388,1747.5258243468384,54.24904443748666,1
179,Blackburn Rovers,Chelsea,2009,0,5,1747.5258243468384,1995.4995253168388,54.24904443748666,-1
180,Burnley,Wigan Athletic,2009,1,3,1655.1324802075005,1713.2617770169231,54.24904443748666,1
181,Wigan Athletic,Burnley,2009,3,1,1713.2617770169231,1655.1324802075005,54.24904443748666,-1
182,Wolverhampton Wanderers,Aston Villa,2009,1,1,1681.4552769971124,1825.1515118181317,54.24904443748666,1
183,Aston Villa,Wolverhampton Wanderers,2009,1,1,1825.1515118181317,1681.4552769971124,54.24904443748666,-1
184,Bolton Wanderers,Everton,2009,3,2,1708.4386307972284,1827.3744944182083,54.24904443748666,1
185,Everton,Bolton Wanderers,2009,2,3,1827.3744944182083,1708.4386307972284,54.24904443748666,-1
186,Manchester City,Fulham,2009,2,2,1781.1008290311554,1749.979631476805,54.24904443748666,1
187,Fulham,Manchester City,2009,2,2,1749.979631476805,1781.1008290311554,54.24904443748666,-1
188,West Ham United,Arsenal,2009,2,2,1730.6187809620385,1940.5613389768316,54.24904443748666,1
189,Arsenal,West Ham United,2009,2,2,1940.5613389768316,1730.6187809620385,54.24904443748666,-1
190,Liverpool,Manchester United,2009,2,0,1941.5070056060754,2015.452042304729,54.24904443748666,1
191,Manchester United,Liverpool,2009,0,2,2015.452042304729,1941.5070056060754,54.24904443748666,-1
192,Burnley,Hull City,2009,2,0,1648.3109147502482,1624.2046700215978,54.90764546565418,1
193,Hull City,Burnley,2009,0,2,1624.2046700215978,1648.3109147502482,54.90764546565418,-1
194,Fulham,Liverpool,2009,3,1,1751.6414148934525,1948.7962744011575,54.90764546565418,1
195,Liverpool,Fulham,2009,1,3,1948.7962744011575,1751.6414148934525,54.90764546565418,-1
196,Manchester United,Blackburn Rovers,2009,2,0,2008.162773509647,1745.4652553587212,54.90764546565418,1
197,Blackburn Rovers,Manchester United,2009,0,2,1745.4652553587212,2008.162773509647,54.90764546565418,-1
198,Bolton Wanderers,Chelsea,2009,0,4,1716.6070082490667,1997.560094304956,54.90764546565418,1
199,Chelsea,Bolton Wanderers,2009,4,0,1997.560094304956,1716.6070082490667,54.90764546565418,-1
200,Arsenal,Tottenham Hotspur,2009,3,0,1937.6614814378415,1803.543668512062,54.90764546565418,1
201,Tottenham Hotspur,Arsenal,2009,0,3,1803.543668512062,1937.6614814378415,54.90764546565418,-1
202,Everton,Aston Villa,2009,1,1,1819.20611696637,1823.4136930899836,54.90764546565418,1
203,Aston Villa,Everton,2009,1,1,1823.4136930899836,1819.20611696637,54.90764546565418,-1
204,Sunderland,West Ham United,2009,2,2,1694.211828844518,1733.5186385010286,54.90764546565418,1
205,West Ham United,Sunderland,2009,2,2,1733.5186385010286,1694.211828844518,54.90764546565418,-1
206,Portsmouth,Wigan Athletic,2009,4,0,1690.9220903765515,1720.0833424741754,54.90764546565418,1
207,Wigan Athletic,Portsmouth,2009,0,4,1720.0833424741754,1690.9220903765515,54.90764546565418,-1
208,Stoke City,Wolverhampton Wanderers,2009,2,2,1724.1096234113782,1683.1930957252605,54.90764546565418,1
209,Wolverhampton Wanderers,Stoke City,2009,2,2,1683.1930957252605,1724.1096234113782,54.90764546565418,-1
210,Birmingham City,Manchester City,2009,0,0,1687.6272510801025,1779.439045614508,54.90764546565418,1
211,Manchester City,Birmingham City,2009,0,0,1779.439045614508,1687.6272510801025,54.90764546565418,-1
212,West Ham United,Aston Villa,2009,2,1,1733.828197384589,1824.4132976517217,54.90764546565418,1
213,Aston Villa,West Ham United,2009,1,2,1824.4132976517217,1733.828197384589,54.90764546565418,-1
214,Manchester City,Burnley,2009,3,3,1778.7090280014295,1653.6671387800943,54.90090603005396,1
215,Burnley,Manchester City,2009,3,3,1653.6671387800943,1778.7090280014295,54.90090603005396,-1
216,Aston Villa,Bolton Wanderers,2009,5,1,1816.8087654443907,1713.6549642785924,54.90090603005396,1
217,Bolton Wanderers,Aston Villa,2009,1,5,1713.6549642785924,1816.8087654443907,54.90090603005396,-1
218,Blackburn Rovers,Portsmouth,2009,3,1,1743.5551270632113,1697.3104168591233,54.90090603005396,1
219,Portsmouth,Blackburn Rovers,2009,1,3,1697.3104168591233,1743.5551270632113,54.90090603005396,-1
220,Wolverhampton Wanderers,Arsenal,2009,1,4,1685.0489404680757,1941.1380049396394,54.90090603005396,1
221,Arsenal,Wolverhampton Wanderers,2009,4,1,1941.1380049396394,1685.0489404680757,54.90090603005396,-1
222,Tottenham Hotspur,Sunderland,2009,2,0,1800.067145010264,1693.9022699609577,54.90090603005396,1
223,Sunderland,Tottenham Hotspur,2009,0,2,1693.9022699609577,1800.067145010264,54.90090603005396,-1
224,West Ham United,Everton,2009,1,2,1741.43272959192,1818.206512404632,54.90090603005396,1
225,Everton,West Ham United,2009,2,1,1818.206512404632,1741.43272959192,54.90090603005396,-1
226,Hull City,Stoke City,2009,2,1,1618.8484459917518,1722.253778668563,54.90090603005396,1
227,Stoke City,Hull City,2009,1,2,1722.253778668563,1618.8484459917518,54.90090603005396,-1
228,Chelsea,Manchester United,2009,1,0,2000.5121382754303,2010.0729018051568,54.90090603005396,1
229,Manchester United,Chelsea,2009,0,1,2010.0729018051568,2000.5121382754303,54.90090603005396,-1
230,Wigan Athletic,Fulham,2009,1,1,1713.6950159916037,1761.2165474245867,54.90090603005396,1
231,Fulham,Wigan Athletic,2009,1,1,1761.2165474245867,1713.6950159916037,54.90090603005396,-1
232,Liverpool,Birmingham City,2009,2,2,1939.2211418700233,1688.357268693181,54.90090603005396,1
233,Birmingham City,Liverpool,2009,2,2,1688.357268693181,1939.2211418700233,54.90090603005396,-1
234,Burnley,Aston Villa,2009,1,1,1656.9515020804947,1820.7690269882166,55.61321506563497,1
235,Aston Villa,Burnley,2009,1,1,1820.7690269882166,1656.9515020804947,55.61321506563497,-1
236,Chelsea,Wolverhampton Wanderers,2009,4,0,2006.515557648457,1681.7513114445235,55.61321506563497,1
237,Wolverhampton Wanderers,Chelsea,2009,0,4,1681.7513114445235,2006.515557648457,55.61321506563497,-1
238,Sunderland,Arsenal,2009,1,0,1689.9907679056769,1944.4356339631915,55.61321506563497,1
239,Arsenal,Sunderland,2009,0,1,1944.4356339631915,1689.9907679056769,55.61321506563497,-1
240,Manchester United,Everton,2009,3,0,2004.0694824321301,1824.671389760431,55.61321506563497,1
241,Everton,Manchester United,2009,0,3,1824.671389760431,2004.0694824321301,55.61321506563497,-1
242,Liverpool,Manchester City,2009,2,2,1934.3476185911775,1775.424664701029,55.61321506563497,1
243,Manchester City,Liverpool,2009,2,2,1775.424664701029,1934.3476185911775,55.61321506563497,-1
244,Birmingham City,Fulham,2009,1,0,1693.2307919720267,1761.3630487014525,55.61321506563497,1
245,Fulham,Birmingham City,2009,0,1,1761.3630487014525,1693.2307919720267,55.61321506563497,-1
246,Hull City,West Ham United,2009,3,3,1626.7039388524267,1734.9678522361207,55.61321506563497,1
247,West Ham United,Hull City,2009,3,3,1734.9678522361207,1626.7039388524267,55.61321506563497,-1
248,Tottenham Hotspur,Wigan Athletic,2009,9,1,1803.978647065545,1713.5485147147378,55.61321506563497,1
249,Wigan Athletic,Tottenham Hotspur,2009,1,9,1713.5485147147378,1803.978647065545,55.61321506563497,-1
250,Bolton Wanderers,Blackburn Rovers,2009,0,2,1709.6947027347665,1748.500285146495,55.61321506563497,1
251,Blackburn Rovers,Bolton Wanderers,2009,2,0,1748.500285146495,1709.6947027347665,55.61321506563497,-1
252,Stoke City,Portsmouth,2009,1,0,1714.398285807888,1692.3652587758397,55.61321506563497,1
253,Portsmouth,Stoke City,2009,0,1,1692.3652587758397,1714.398285807888,55.61321506563497,-1
254,Hull City,Everton,2009,3,2,1627.7414302758136,1821.8373387698161,55.61321506563497,1
255,Everton,Hull City,2009,2,3,1821.8373387698161,1627.7414302758136,55.61321506563497,-1
256,Fulham,Blackburn Rovers,2009,3,0,1754.215973046779,1755.7323615893495,55.61321506563497,1
257,Blackburn Rovers,Fulham,2009,0,3,1755.7323615893495,1754.215973046779,55.61321506563497,-1
258,Blackburn Rovers,Stoke City,2009,0,0,1749.8992921423119,1719.7803307126624,57.427762332357965,1
259,Stoke City,Blackburn Rovers,2009,0,0,1719.7803307126624,1749.8992921423119,57.427762332357965,-1
260,Aston Villa,Tottenham Hotspur,2009,1,1,1818.6874144640524,1808.136973716147,57.427762332357965,1
261,Tottenham Hotspur,Aston Villa,2009,1,1,1808.136973716147,1818.6874144640524,57.427762332357965,-1
262,Wigan Athletic,Sunderland,2009,1,0,1709.3901880641358,1700.4561925410749,57.427762332357965,1
263,Sunderland,Wigan Athletic,2009,0,1,1700.4561925410749,1709.3901880641358,57.427762332357965,-1
264,Manchester City,Hull City,2009,1,1,1779.214582664971,1637.2528013891847,57.427762332357965,1
265,Hull City,Manchester City,2009,1,1,1637.2528013891847,1779.214582664971,57.427762332357965,-1
266,West Ham United,Burnley,2009,5,3,1733.9303608127339,1659.033114604659,57.427762332357965,1
267,Burnley,West Ham United,2009,3,5,1659.033114604659,1733.9303608127339,57.427762332357965,-1
268,Fulham,Bolton Wanderers,2009,1,1,1760.0490424938166,1702.4626262919119,57.427762332357965,1
269,Bolton Wanderers,Fulham,2009,1,1,1702.4626262919119,1760.0490424938166,57.427762332357965,-1
270,Portsmouth,Manchester United,2009,1,4,1686.9832138710653,2006.903533422745,57.427762332357965,1
271,Manchester United,Portsmouth,2009,4,1,2006.903533422745,1686.9832138710653,57.427762332357965,-1
272,Arsenal,Chelsea,2009,0,3,1933.9702093277936,2007.9047400947836,57.427762332357965,1
