Club,Manager,From,To,Tenure (days),Gap (days),Caretaker?,Exclude?,Data concern?,Comments
Darlington,Craig Liddle,26/10/2011,16/01/2012,82,1,,,,Not in top 4 divisions - no need to be current
Derby,Tim Ward,1/6/62,31/05/1967,1825,,,,Y,
Derby,Brian Clough,1/6/67,15/10/1973,2328,1,,,,
Derby,Dave Mackay,23/10/1973,25/11/1976,1129,8,,,,
Derby,Colin Murphy,25/11/1976,17/09/1977,296,0,,,,
Derby,Tommy Docherty,17/09/1977,10/5/79,600,0,,,,
Derby,Colin Addison,6/7/79,25/01/1982,934,57,,,,
Derby,Johnny Newman,25/01/1982,7/11/82,286,0,,,,
Derby,Peter Taylor,8/11/82,4/4/84,513,1,,,,
Derby,Roy McFarland,4/4/84,28/05/1984,54,0,Y,Y,,Caretaker but for a prolonged spell
Derby,Arthur Cox,28/05/1984,2/10/93,3414,0,,,,
Derby,Roy McFarland,2/10/93,29/04/1995,574,0,,,,
Derby,Jim Smith,15/06/1995,7/10/01,2306,47,,,,
Derby,Colin Todd,8/10/01,14/01/2002,98,1,,,,
Derby,John Gregory,30/01/2002,21/03/2003,415,16,,,,
Derby,George Burley,31/03/2003,7/6/05,799,10,,,,
Derby,Phil Brown,24/06/2005,30/01/2006,220,17,,,,
Derby,Terry Westley,30/01/2006,2/6/06,123,0,,,,
Derby,Billy Davies,2/6/06,26/11/2007,542,0,,,,
Derby,Paul Jewell,28/11/2007,29/12/2008,397,2,,,,
Derby,Nigel Clough,8/1/09,28/09/2013,1724,10,,,,
Derby,Steve McClaren,30/09/2013,25/05/2015,602,2,,,,
Derby,Paul Clement,1/6/15,19/02/2019,1359,7,,,,
Doncaster,Oscar Hold,1/3/62,31/05/1964,822,,,,Y,
Doncaster,Bill Leivers,1/7/64,1/2/66,580,31,,,Y,
Doncaster,Jackie Bestall,1/2/66,1/12/66,303,0,,,Y,
Doncaster,Keith Kettleborough,1/12/66,1/5/67,151,0,,,Y,
Doncaster,George Raynor,1/5/67,1/12/68,580,0,,,Y,
Doncaster,Lawrie McMenemy,1/12/68,1/5/71,881,0,,,Y,
Doncaster,Maurice Setters,1/5/71,15/11/1974,1294,0,,,,
Doncaster,Johnny Quigley,15/11/1974,3/2/75,80,0,,,,
Doncaster,Stan Anderson,3/2/75,20/11/1978,1386,0,,,,
Doncaster,Billy Bremner,25/11/1978,1/10/85,2502,5,,,,
Doncaster,Dave Cusack,1/10/85,7/12/87,797,0,,,,
Doncaster,Dave MacKay,7/12/87,1/3/89,450,0,,,,
Doncaster,Joe Kinnear,1/3/89,30/06/1989,121,0,,,,
Doncaster,Billy Bremner,3/7/89,2/11/91,852,3,,,,
Doncaster,Steve Beaglehole,7/11/91,1/12/93,755,5,,,,
Doncaster,Ian Atkins,1/1/94,30/06/1994,180,31,,,,
Doncaster,Sammy Chung,1/7/94,31/07/1996,761,1,,,,
Doncaster,Kerry Dixon,1/8/96,21/08/1997,385,1,,,,
Doncaster,Mark Weaver,21/08/1997,19/10/1997,59,0,,,Y,Caretaker?
Doncaster,Dave Cowling,19/10/1997,29/10/1997,10,0,,,,Resigned in protest
Doncaster,Danny Bergara,29/10/1997,2/12/97,34,0,,,,
Doncaster,Mark Weaver,2/12/97,31/05/1998,180,0,,,,
Doncaster,Ian Snodin,22/07/1998,15/04/2000,633,52,,,,
Doncaster,Steve Wignall,31/05/2000,26/12/2001,574,46,,,,
Doncaster,Dave Penney,27/12/2001,30/08/2006,1707,1,,,,
Doncaster,Sean O'Driscoll,10/9/06,22/09/2011,1838,11,,,,
Doncaster,Dean Saunders,23/09/2011,6/1/13,471,1,,,,
Doncaster,Brian Flynn,17/01/2013,3/5/13,106,11,,,,
Doncaster,Paul Dickov,20/05/2013,8/9/15,841,17,,,,
Doncaster,Rob Jones,8/9/15,16/10/2015,38,0,Y,Y,,
Doncaster,Darren Ferguson,18/10/2015,19/02/2019,1220,2,,,,
Everton,Harry Catterick,22/04/1961,7/4/73,4368,,,,,
Everton,Billy Bingham,25/08/1973,8/1/77,1232,140,,,,
Everton,Gordon Lee,1/2/77,4/5/81,1553,24,,,,
Everton,Howard Kendall,31/05/1981,18/06/1987,2209,27,,,,
Everton,Colin Harvey,19/06/1987,31/10/1990,1230,1,,,,
Everton,Howard Kendall,10/11/90,4/12/93,1120,10,,,,
Everton,Mike Walker,7/1/94,5/11/94,302,34,,,,
Everton,Joe Royle,21/11/1994,27/03/1997,857,16,,,,
Everton,Dave Watson,5/4/97,11/5/97,36,9,,,,Appears to be a permanent appointment
Everton,Howard Kendall,27/06/1997,10/5/98,317,47,,,,
Everton,Walter Smith,15/08/1998,13/03/2002,1306,97,,,,
Everton,David Moyes,16/03/2002,19/05/2013,4082,3,,,,
Everton,Roberto Martinez,5/6/13,19/02/2019,2085,17,,,,
Exeter,Ellis Stuttard,1/2/65,1/6/66,485,,,,Y,
Exeter,Jock Basford,1/6/66,30/04/1967,333,0,,,Y,
Exeter,Frank Broome,1/5/67,1/2/69,642,1,,,Y,
Exeter,Johnny Newman,1/4/69,21/12/1976,2821,59,,,,
Exeter,Bobby Saxton,1/1/77,5/1/79,734,11,,,,
Exeter,Brian Godfrey,5/1/79,1/6/83,1608,0,,,,
Exeter,Gerry Francis,20/07/1983,14/05/1984,299,49,,,,
Exeter,Jim Iley,7/6/84,30/04/1985,327,24,,,,
Exeter,Colin Appleton,1/5/85,11/12/87,954,1,,,,
Exeter,John Delve,11/12/87,8/5/88,149,0,,,,
Exeter,Terry Cooper,9/5/88,1/8/91,1179,1,,,,
Exeter,Alan Ball,6/8/91,20/01/1994,898,5,,,,
Exeter,Terry Cooper,24/01/1994,31/07/1995,553,4,,,,
Exeter,Peter Fox,1/8/95,9/1/00,1622,1,,,,
Exeter,Noel Blake,10/1/00,24/09/2001,623,1,,,,
Exeter,John Cornforth,24/09/2001,6/10/02,377,0,,,,
Exeter,Neil McNab,17/10/2002,25/02/2003,131,11,,,,
Exeter,Gary Peters,25/02/2003,24/05/2003,88,0,,,,
Exeter,Eamonn Dolan,9/6/03,7/10/04,486,16,,,,
Exeter,Alex Inglethorpe,18/10/2004,25/06/2006,615,11,,,,
Exeter,Paul Tisdale,26/06/2006,19/02/2019,4621,1,,,,
Fleetwood,Micky Mellon,23/09/2008,1/12/12,1530,,,,,
Fleetwood,Graham Alexander,6/12/12,30/09/2015,1028,5,,,,
Fleetwood,Steven Pressley,6/10/15,19/02/2019,1232,6,,,,
Fulham,Vic Buckingham,1/1/65,1/1/68,1095,,,,Y,
Fulham,Bobby Robson,1/1/68,1/11/68,305,0,,,Y,
Fulham,Johnny Haynes,1/11/68,30/11/1968,29,0,Y,Y,Y,Was he caretaker?
Fulham,Bill Dodgin Jr,1/12/68,19/06/1972,1296,1,,,,
Fulham,Alec Stock,21/06/1972,16/12/1976,1639,2,,,,
Fulham,Bobby Campbell,16/12/1976,31/10/1980,1415,0,,,,
Fulham,Malcolm MacDonald,1/11/80,20/04/1984,1266,1,,,,
Fulham,Ray Harford,20/04/1984,10/6/86,781,0,,,,
Fulham,Ray Lewington,1/7/86,1/6/90,1431,21,,,,
Fulham,Alan Dicks,9/7/90,31/12/1991,540,38,,,,
Fulham,Don Mackay,27/01/1992,28/03/1994,791,27,,,,
Fulham,Ray Lewington,28/03/1994,1/8/94,126,0,,,,
Fulham,Ian Branfoot,1/8/94,19/02/1996,567,0,,,,
Fulham,Micky Adams,19/02/1996,25/09/1997,584,0,,,,
Fulham,Ray Wilkins,25/09/1997,7/5/98,224,0,,,,
Fulham,Kevin Keegan,7/5/98,9/5/99,367,0,,,,
Fulham,Paul Bracewell,14/05/1999,29/03/2000,320,5,,,,
Fulham,Karl-Heinz Riedle,30/03/2000,1/7/00,93,1,,,,
Fulham,Jean Tigana,1/7/00,17/04/2003,1020,0,,,,
Fulham,Chris Coleman,17/04/2003,11/4/07,1455,0,,,,
Fulham,Lawrie Sanchez,11/4/07,21/12/2007,254,0,,,,
Fulham,Roy Hodgson,30/12/2007,1/7/10,914,9,,,,
Fulham,Mark Hughes,29/07/2010,1/6/11,307,28,,,,
Fulham,Martin Jol,7/6/11,1/12/13,908,6,,,,
Fulham,Rene Meulensteen,1/12/13,14/02/2014,75,0,,,,
Fulham,Felix Magath,14/02/2014,18/09/2014,216,0,,,,
Fulham,Kit Symons,18/09/2014,8/11/15,416,0,,,,
Fulham,Peter Grant,8/11/15,19/02/2019,1199,0,Y,Y,,Vacant
Gillingham,Fred Cox,1/6/62,17/12/1965,1295,,,,,
Gillingham,Basil Hayward,4/1/66,25/05/1971,1967,18,,,,
Gillingham,Andy Nelson,24/06/1971,3/5/74,1044,30,,,,
Gillingham,Len Ashurst,6/5/74,15/10/1975,527,3,,,,
Gillingham,Gerry Summers,27/10/1975,22/05/1981,2034,12,,,,
Gillingham,Keith Peacock,14/07/1981,29/12/1987,2359,53,,,,
Gillingham,Paul Taylor,29/12/1987,26/10/1988,302,0,,,,
Gillingham,Keith Burkinshaw,31/10/1988,11/4/89,162,5,,,,
Gillingham,Damien Richardson,11/4/89,8/10/92,1276,0,,,,
Gillingham,Glenn Roeder,26/10/1992,9/7/93,256,18,,,,
Gillingham,Mike Flanagan,12/7/93,28/02/1995,596,3,,,,
Gillingham,Neil Smillie,28/02/1995,31/05/1995,92,0,Y,Y,,Caretaker but for prolonged spell
Gillingham,Tony Pulis,29/06/1995,30/06/1999,1462,29,,,,
Gillingham,Peter Taylor,7/7/99,12/6/00,341,7,,,,
Gillingham,Andy Hessenthaler,29/06/2000,23/11/2004,1608,17,,,,
Gillingham,Stan Ternent,7/12/04,15/05/2005,159,14,,,,
Gillingham,Neale Cooper,21/05/2005,15/11/2005,178,6,,,,
Gillingham,Ronnie Jepson,15/11/2005,9/9/07,663,0,,,,
Gillingham,Iffy Onuora & Mick Docherty,9/9/07,1/11/07,53,0,Y,Y,,
Gillingham,Mark Stimson,1/11/07,10/5/10,921,0,,,,
Gillingham,Andy Hessenthaler,21/05/2010,8/5/12,718,11,,,,
Gillingham,Martin Allen,5/7/12,13/10/2013,465,58,,,,
Gillingham,Peter Taylor,14/10/2013,31/12/2014,443,1,,,,
Gillingham,Andy Hessenthaler & others,31/12/2014,7/2/15,38,0,Y,Y,,
Gillingham,Justin Edinburgh,7/2/15,19/02/2019,1473,0,,,,
Grimsby,Jimmy McGuigan,1/11/64,1/7/67,972,,,,Y,
Grimsby,Don McEvoy,1/7/67,1/1/68,184,0,,,Y,
Grimsby,Bill Harvey,1/1/68,1/1/69,366,0,,,Y,
Grimsby,Bobby Kennedy,1/3/69,1/5/71,791,59,,,Y,Was there a caretaker beforehand?
Grimsby,Lawrie McMenemy,1/5/71,1/7/73,792,0,,,Y,
Grimsby,Ron Ashman,1/7/73,3/2/75,582,0,,,,
Grimsby,Tom Casey,28/02/1975,30/11/1976,641,25,,,,
Grimsby,Johnny Newman,21/12/1976,11/7/79,932,21,,,,
Grimsby,George Kerr,13/07/1979,11/1/82,913,2,,,,
Grimsby,David Booth,11/1/82,31/10/1985,1389,0,,,,
Grimsby,Mike Lyons,1/11/85,30/06/1987,606,1,,,,
Grimsby,Bobby Roberts,1/7/87,9/5/88,313,1,,,,
Grimsby,Alan Buckley,6/6/88,20/10/1994,2327,28,,,,
Grimsby,Brian Laws,29/11/1994,1/11/96,703,40,,,,Was there a caretaker beforehand?
Grimsby,Kenny Swain,15/11/1996,21/05/1997,187,14,,,,
Grimsby,Alan Buckley,21/05/1997,22/08/2000,1189,0,,,,
Grimsby,Lennie Lawrence,29/08/2000,28/12/2001,486,7,,,,
Grimsby,Paul Groves,28/12/2001,9/2/04,773,0,,,,
Grimsby,Nicky Law,4/3/04,28/05/2004,85,24,,,,
Grimsby,Russell Slade,28/05/2004,31/05/2006,733,0,,,,
Grimsby,Graham Rodger,5/6/06,6/11/06,154,5,,,,
Grimsby,Alan Buckley,9/11/06,15/09/2008,676,3,,,,
Grimsby,Mike Newell,6/10/08,19/10/2009,378,21,,,,
Grimsby,Neil Woods,19/10/2009,23/02/2011,492,0,,,,
Grimsby,Paul Hurst,23/03/2011,30/06/2015,1560,28,,,,Not in top 4 divisions - no need to be current
Halifax,Willie Watson,1/7/64,1/7/66,730,,,,Y,
Halifax,Vic Metcalfe,1/7/66,1/7/67,365,0,,,Y,
Halifax,Alan Ball,1/7/67,1/7/70,1096,0,,,Y,
Halifax,George Kirby,1/7/70,1/7/71,365,0,,,Y,
Halifax,Ray Henderson,1/7/71,1/7/72,366,0,,,Y,
Halifax,George Mulhall,1/7/72,1/7/74,730,0,,,Y,
Halifax,Johnny Quinn,1/7/74,1/7/76,731,0,,,Y,
Halifax,Alan Ball,1/7/76,1/7/77,365,0,,,Y,
Halifax,Jimmy Lawson,1/7/77,1/7/78,365,0,,,Y,
Halifax,George Kirby,1/7/78,1/7/81,1096,0,,,Y,
Halifax,Mickey Bullock,1/7/81,1/1/84,914,0,,,Y,
Halifax,Billy Ayre,1/1/84,1/7/84,182,0,,,Y,
Halifax,Mick Jones,1/7/84,1/7/86,730,0,,,Y,
Halifax,Billy Ayre,1/7/86,1/7/90,1461,0,,,Y,
Halifax,Jim McCalliog,1/7/90,1/7/91,365,0,,,Y,
Halifax,John McGrath,1/7/91,1/7/92,366,0,,,Y,
Halifax,Mick Rathbone,1/7/92,1/7/93,365,0,,,Y,
Halifax,Peter Wragg,1/7/93,1/7/94,365,0,,,Y,
Halifax,John Bird,1/7/94,1/8/96,762,0,,,Y,
Halifax,George Mulhall,1/8/96,1/8/98,730,0,,,Y,
Halifax,Kieran O'Regan,1/8/98,7/4/99,249,0,,,,
Halifax,Mark Lillis,1/6/99,11/9/00,468,55,,,,Was there a caretaker beforehand?
Halifax,Paul Bracewell,3/10/00,29/08/2001,330,22,,,,
Halifax,Neil Redfearn,30/08/2001,12/10/01,43,1,Y,Y,,
Halifax,Alan Little,13/10/2001,1/3/02,139,1,,,,
Halifax,Neil Redfearn,1/3/02,25/04/2002,55,0,,,,Not in top 4 divisions - no need to be current
Hartlepool,Geoff Twentyman,1/6/65,1/10/65,122,,,,Y,
Hartlepool,Brian Clough,1/10/65,1/5/67,577,0,,,Y,
Hartlepool,Angus McLean,1/5/67,30/04/1970,1095,0,,,Y,
Hartlepool,John Simpson,1/5/70,1/3/71,304,1,,,Y,
Hartlepool,Len Ashurst,1/3/71,1/6/74,1188,0,,,Y,
Hartlepool,Ken Hale,1/6/74,1/10/76,853,0,,,Y,
Hartlepool,Billy Horner,1/10/76,31/03/1983,2372,0,,,Y,
Hartlepool,John Duncan,1/4/83,14/06/1983,74,1,,,,
Hartlepool,Mike Docherty,14/06/1983,15/12/1983,184,0,,,,
Hartlepool,Billy Horner,15/12/1983,1/11/86,1052,0,,,,
Hartlepool,John Bird,1/11/86,1/10/88,700,0,,,,
Hartlepool,Bobby Moncur,2/11/88,27/11/1989,390,32,,,,Was there a caretaker beforehand?
Hartlepool,Cyril Knowles,9/12/89,17/06/1991,555,12,,,,
Hartlepool,Alan Murray,17/06/1991,15/02/1993,609,0,,,,
Hartlepool,Viv Busby,15/02/1993,24/11/1993,282,0,,,,
Hartlepool,John McPhail,24/11/1993,1/9/94,281,0,,,,
Hartlepool,David McCreery,9/9/94,20/04/1995,223,8,,,,
Hartlepool,Keith Houchen,20/04/1995,4/11/96,564,0,,,,
Hartlepool,Mick Tait,4/11/96,18/01/1999,805,0,,,,
Hartlepool,Chris Turner,24/02/1999,7/11/02,1352,37,,,,Was there a caretaker beforehand?
Hartlepool,Mike Newell,21/11/2002,30/05/2003,190,14,,,,
Hartlepool,Neale Cooper,26/06/2003,4/5/05,678,27,,,,
Hartlepool,Martin Scott,4/5/05,8/2/06,280,0,,,,
Hartlepool,Paul Stephenson,8/2/06,13/06/2006,125,0,,,,
Hartlepool,Danny Wilson,13/06/2006,15/12/2008,916,0,,,,
Hartlepool,Chris Turner,15/12/2008,19/08/2010,612,0,,,,
Hartlepool,Mick Wadsworth,19/08/2010,6/12/11,474,0,,,,
Hartlepool,Neale Cooper,28/12/2011,24/10/2012,301,22,,,,
Hartlepool,John Hughes,13/11/2012,9/5/13,177,20,,,,
Hartlepool,Neale Cooper,24/05/2013,5/10/14,499,15,,,,
Hartlepool,Paul Murray,23/10/2014,6/12/14,44,18,,,,Appears to be a permanent appointment
Hartlepool,Ronnie Moore,16/12/2014,19/02/2019,1526,10,,,,
Hereford,Bob Dennison,1/8/63,31/12/1967,1613,,,,Y,
Hereford,John Charles,31/12/1967,15/09/1971,1354,0,,,,
Hereford,Colin Addison,13/10/1971,27/04/1974,927,28,,,,
Hereford,John Sillett,17/08/1974,28/01/1978,1260,112,,,,
Hereford,Tony Ford,11/2/78,29/04/1978,77,14,,,,
Hereford,Mike Bailey,19/08/1978,20/10/1979,427,112,,,,
Hereford,Peter Isaac,23/10/1979,17/11/1979,25,3,,,Y,Caretaker?
Hereford,Frank Lord,27/11/1979,18/09/1982,1026,10,,,,
Hereford,Tommy Hughes,28/09/1982,5/3/83,158,10,,,,
Hereford,Johnny Newman,12/3/83,30/09/1987,1663,7,,,,
Hereford,Ian Bowyer,3/10/87,13/08/1990,1045,3,,,,
Hereford,Colin Addison,25/08/1990,11/5/91,259,12,,,,
Hereford,John Sillett,17/08/1991,28/04/1992,255,98,,,,
Hereford,Greg Downs,15/08/1992,13/09/1994,759,109,,,,
Hereford,John Layton,16/09/1994,6/5/95,232,3,,,,
Hereford,Graham Turner,12/8/95,24/04/2009,5004,98,,,,
Hereford,John Trewick,24/04/2009,8/3/10,318,0,,,,
Hereford,Graham Turner,8/3/10,4/6/10,88,0,,,,
Hereford,Simon Davey,22/06/2010,2/10/10,102,18,,,,
Hereford,Jamie Pitman,5/10/10,3/3/12,515,3,,,,
Hereford,Richard O'Kelly,6/3/12,5/5/12,60,3,,,,
Hereford,Martin Foyle,5/5/12,17/03/2014,681,0,,,,
Hereford,Peter Beadle,18/03/2014,27/04/2014,40,1,,,,
Hereford,Jon Taylor,1/8/14,19/12/2014,140,96,,,,Not in top 4 divisions - no need to be current
Huddersfield,Tom Johnston,1/10/64,31/05/1968,1338,,,,Y,
Huddersfield,Ian Greaves,1/6/68,30/06/1974,2220,1,,,Y,
Huddersfield,Bobby Collins,3/7/74,23/12/1975,538,3,,,,
Huddersfield,Tom Johnston,23/12/1975,22/04/1977,486,0,,,,
Huddersfield,John Haselden,22/04/1977,29/09/1977,160,0,,,,
Huddersfield,Tom Johnston,29/09/1977,29/08/1978,334,0,,,,
Huddersfield,Mike Buxton,30/08/1978,23/12/1986,3037,1,,,,
Huddersfield,Steve Smith,23/12/1986,8/10/87,289,0,,,,
Huddersfield,Malcolm MacDonald,12/10/87,4/5/88,205,4,,,,
Huddersfield,Eoin Hand,8/6/88,5/3/92,1366,35,,,,
Huddersfield,Ian Ross,5/3/92,14/07/1993,496,0,,,,
Huddersfield,Neil Warnock,15/07/1993,5/6/95,690,1,,,,
Huddersfield,Brian Horton,21/06/1995,6/10/97,838,16,,,,
Huddersfield,Peter Jackson,7/10/97,10/5/99,580,1,,,,
Huddersfield,Steve Bruce,24/05/1999,16/10/2000,511,14,,,,
Huddersfield,Lou Macari,16/10/2000,14/06/2002,606,0,,,,
Huddersfield,Mick Wadsworth,1/7/02,26/03/2003,268,17,,,,
Huddersfield,Peter Jackson,27/06/2003,6/3/07,1348,93,,,,Was there a caretaker beforehand?
Huddersfield,Andy Ritchie,11/4/07,1/4/08,356,36,,,,Was there a caretaker beforehand?
Huddersfield,Stan Ternent,5/5/08,4/11/08,183,34,,,,Was there a caretaker beforehand?
Huddersfield,Lee Clark,11/12/08,15/02/2012,1161,37,,,,Was there a caretaker beforehand?
Huddersfield,Simon Grayson,20/02/2012,24/01/2013,339,5,,,,
Huddersfield,Mark Robins,14/02/2013,10/8/14,542,21,,,,
Huddersfield,Chris Powell,3/9/14,4/11/15,427,24,,,,
Huddersfield,David Wagner,5/11/15,19/02/2019,1202,1,,,,
Hull,Cliff Britton,1/7/61,1/11/69,3045,,,,Y,
Hull,Terry Neill,1/6/70,11/9/74,1563,212,,,,
Hull,John Kaye,25/09/1974,1/10/77,1102,14,,,,
Hull,Bobby Collins,1/10/77,10/2/78,132,0,,,,
Hull,Wilf McGuinness,10/2/78,17/04/1978,66,0,Y,Y,,
Hull,Ken Houghton,17/04/1978,12/12/79,604,0,,,,
Hull,Mike Smith,17/12/1979,4/3/82,808,5,,,,
Hull,Bobby Brown,4/3/82,8/6/82,96,0,,,,
Hull,Colin Appleton,8/6/82,15/05/1984,707,0,,,,
Hull,Brian Horton,1/6/84,13/04/1988,1412,17,,,,
Hull,Eddie Gray,13/06/1988,20/05/1989,341,61,,,,
Hull,Colin Appleton,22/05/1989,30/10/1989,161,2,,,,
Hull,Stan Ternent,8/11/89,31/01/1991,449,9,,,,
Hull,Terry Dolan,31/01/1991,14/07/1997,2356,0,,,,
Hull,Mark Hateley,15/07/1997,11/11/98,484,1,,,,
Hull,Warren Joyce,20/11/1998,19/04/2000,516,9,,,,
Hull,Brian Little,25/04/2000,27/02/2002,673,6,,,,
Hull,Jan Molby,4/4/02,11/10/02,190,36,,,,
Hull,Peter Taylor,14/10/2002,29/06/2006,1354,3,,,,
Hull,Phil Parkinson,29/06/2006,4/12/06,158,0,,,,
Hull,Phil Brown,4/12/06,15/03/2010,1197,0,,,,
Hull,Iain Dowie,17/03/2010,18/05/2010,62,2,Y,Y,,
Hull,Nigel Pearson,29/06/2010,14/11/2011,503,42,,,,
Hull,Nick Barmby,14/11/2011,8/5/12,176,0,,,,
Hull,Steve Bruce,8/6/12,19/02/2019,2447,31,,,,
Ipswich,Bill McGarry,5/10/64,23/11/1968,1510,,,,,
Ipswich,Cyril Lea,24/11/1968,12/1/69,49,1,Y,Y,,
Ipswich,Bobby Robson,13/01/1969,18/08/1982,4965,1,,,,
Ipswich,Bobby Ferguson,19/08/1982,17/05/1987,1732,1,,,,
Ipswich,John Duncan,16/06/1987,8/5/90,1057,30,,,,
Ipswich,John Lyall,10/5/90,5/12/94,1670,2,,,,
Ipswich,George Burley,28/12/1994,11/10/02,2844,23,,,,
Ipswich,Joe Royle,28/10/2002,11/5/06,1291,17,,,,
Ipswich,Jim Magilton,5/6/06,22/04/2009,1052,25,,,,
Ipswich,Roy Keane,23/04/2009,7/1/11,624,1,,,,
Ipswich,Paul Jewell,10/1/11,24/10/2012,653,3,,,,
Ipswich,Mick McCarthy,1/11/12,19/02/2019,2301,8,,,,
Kidderminster,Jan Molby,6/5/99,29/03/2002,1058,,,,,
Kidderminster,Ian Britton,30/03/2002,19/10/2003,568,1,,,,
Kidderminster,Jan Molby,20/10/2003,28/10/2004,374,1,,,,
Kidderminster,Stuart Watkiss,30/11/2004,1/1/06,397,33,,,,
Kidderminster,Mark Yates,1/1/06,22/12/2009,1451,0,,,,
Kidderminster,Steve Burr,1/1/10,7/1/14,1467,10,,,,
Kidderminster,Gary Whild,5/3/14,30/06/2015,482,57,,,,Not in top 4 divisions - no need to be current
Leeds,Don Revie,1/3/61,4/7/74,4873,,,,,
Leeds,Brian Clough,30/07/1974,12/9/74,44,26,,,,Was there a caretaker beforehand?
Leeds,Jimmy Armfield,4/10/74,3/7/78,1368,22,,,,
Leeds,Jock Stein,21/08/1978,4/10/78,44,49,,,,Was there a caretaker beforehand?
Leeds,Jimmy Adamson,25/10/1978,1/10/80,707,21,,,,
Leeds,Allan Clarke,1/10/80,30/06/1982,637,0,,,,
Leeds,Eddie Gray,4/7/82,11/10/85,1195,4,,,,
Leeds,Billy Bremner,11/10/85,28/09/1988,1083,0,,,,
Leeds,Howard Wilkinson,10/10/88,10/9/96,2892,12,,,,
Leeds,George Graham,10/9/96,1/10/98,751,0,,,,
Leeds,David O'Leary,1/10/98,27/06/2002,1365,0,,,,
Leeds,Terry Venables,8/7/02,21/03/2003,256,11,,,,
Leeds,Peter Reid,21/03/2003,10/11/03,234,0,,,,
Leeds,Eddie Gray,10/11/03,31/05/2004,203,0,,,,
Leeds,Kevin Blackwell,1/6/04,20/09/2006,841,1,,,,
Leeds,Dennis Wise,24/10/2006,28/01/2008,461,34,,,,Was there a caretaker beforehand?
Leeds,Gary McAllister,30/01/2008,22/12/2008,327,2,,,,
Leeds,Simon Grayson,23/12/2008,1/2/12,1135,1,,,,
Leeds,Neil Warnock,18/02/2012,1/4/13,408,17,,,,
Leeds,Brian McDermott,12/4/13,30/05/2014,413,11,,,,
Leeds,Dave Hockaday,19/06/2014,28/08/2014,70,20,,,,
Leeds,Darko Milanic,22/09/2014,25/10/2014,33,25,,,,
Leeds,Neil Redfearn,1/11/14,20/05/2015,200,7,,,,
Leeds,Uwe Rosler,20/05/2015,19/10/2015,152,0,,,,
Leeds,Steve Evans,19/10/2015,19/02/2019,1219,0,,,,
Leicester,Matt Gillies,8/11/58,30/11/1968,3675,,,,,
Leicester,Frank O'Farrell,1/12/68,6/6/71,917,1,,,,
Leicester,Jimmy Bloomfield,23/06/1971,23/05/1977,2161,17,,,,
Leicester,Frank McLintock,9/6/77,5/4/78,300,17,,,,
Leicester,Ian MacFarlane,5/4/78,24/05/1978,49,0,Y,Y,,Caretaker but for prolonged spell
Leicester,Jock Wallace,24/05/1978,12/7/82,1510,0,,,,
Leicester,Gordon Milne,2/8/82,3/6/86,1401,21,,,,
Leicester,Bryan Hamilton,3/6/86,11/12/87,556,0,,,,
Leicester,David Pleat,24/12/1987,29/01/1991,1132,13,,,,
Leicester,Gordon Lee,30/01/1991,29/05/1991,119,1,,,,
Leicester,Brian Little,30/05/1991,22/11/1994,1272,1,,,,
Leicester,Mark McGhee,14/12/1994,7/12/95,358,22,,,,
Leicester,Martin O'Neill,21/12/1995,1/6/00,1624,14,,,,
Leicester,Peter Taylor,12/6/00,30/09/2001,475,11,,,,
Leicester,Dave Bassett,10/10/01,6/4/02,178,10,,,,
Leicester,Micky Adams,7/4/02,11/10/04,918,1,,,,
Leicester,Craig Levein,1/11/04,25/01/2006,450,21,,,,
Leicester,Rob Kelly,25/01/2006,11/4/07,441,0,,,,
Leicester,Martin Allen,25/05/2007,29/08/2007,96,44,,,,Was there a caretaker beforehand?
Leicester,Gary Megson,13/09/2007,24/10/2007,41,15,,,,
Leicester,Ian Holloway,22/11/2007,23/05/2008,183,29,,,,
Leicester,Nigel Pearson,22/06/2008,29/06/2010,737,30,,,,Was there a caretaker beforehand?
Leicester,Paulo Sousa,7/7/10,1/10/10,86,8,,,,
Leicester,Sven-Goran Eriksson,4/10/10,24/10/2011,385,3,,,,
Leicester,Nigel Pearson,15/11/2011,30/06/2015,1323,22,,,,
Leicester,Claudio Ranieri,13/07/2015,19/02/2019,1317,13,,,,
Leyton O,Dave Sexton,1/1/65,1/12/65,334,,,,Y,
Leyton O,Dick Graham,1/6/66,1/2/68,610,182,,,Y,Was there a caretaker beforehand?
Leyton O,Jimmy Bloomfield,1/6/68,31/05/1971,1094,121,,,Y,Was there a caretaker beforehand?
Leyton O,George Petchey,12/7/71,26/08/1977,2237,42,,,,Was there a caretaker beforehand?
Leyton O,Jimmy Bloomfield,12/9/77,27/08/1981,1445,17,,,,
Leyton O,Paul Went,27/08/1981,12/10/81,46,0,,,,Appears to be a permanent appointment
Leyton O,Ken Knighton,13/10/1981,1/5/82,200,1,,,,
Leyton O,Frank Clark,1/5/82,1/7/91,3348,0,,,,
Leyton O,Peter Eustace,1/7/91,7/4/94,1011,0,,,,
Leyton O,Chris Turner & John Sitton,1/8/94,20/04/1995,262,116,,,,
Leyton O,Pat Holland,27/04/1995,28/10/1996,550,7,,,,
Leyton O,Tommy Taylor,7/11/96,15/10/2001,1803,10,,,,
Leyton O,Paul Brush,15/10/2001,27/09/2003,712,0,,,,
Leyton O,Martin Ling,28/09/2003,18/01/2009,1939,1,,,,
