,index,Date,Rating,Rd,Year
0,2189,2014-01-03,1953.8002084109648,56.37716425421957,2014
1,2190,2014-01-10,1953.8002084109648,56.440199774450264,2014
2,2191,2014-01-14,1956.8718281845468,56.09322878719705,2014
3,2192,2014-01-24,1949.0935614337066,55.4661291083602,2014
4,2193,2014-01-31,1951.5507914929242,55.197082134004674,2014
5,2194,2014-02-04,1938.8240210072565,54.753759783922064,2014
6,2195,2014-02-14,1934.3823305363735,53.86190067924988,2014
7,2196,2014-02-21,1934.3823305363735,53.92787790169934,2014
8,2197,2014-02-25,1937.7573931753473,53.58194679273163,2014
9,2198,2014-03-07,1937.7573931753473,53.64826846882657,2014
10,2199,2014-03-12,1942.2600735763247,53.21757720099421,2014
11,2200,2014-03-21,1932.0522894249807,52.73253611730728,2014
12,2201,2014-03-26,1928.2960193427498,51.76178931429454,2014
13,2202,2014-04-04,1931.1361244541051,51.4891783853813,2014
14,2203,2014-04-11,1936.1619327313588,51.06761602949096,2014
15,2204,2014-04-18,1936.1619327313588,51.13720014898564,2014
16,2205,2014-04-25,1928.816790990448,50.67168469949992,2014
17,2206,2014-04-29,1931.6001912750564,55.60359326970713,2014
18,2207,2014-05-07,1919.756414064668,54.94991017275502,2014
19,2208,2014-05-11,1917.164837146785,54.41293007719487,2014
20,2209,2014-08-08,1917.164837146785,68.30045800823068,2014
21,2210,2014-08-10,1917.164837146785,68.35249005915871,2014
22,2211,2014-08-20,1896.6496218099683,67.59209286246568,2014
23,2212,2014-08-25,1891.6947825546624,66.62761107347137,2014
24,2213,2014-09-05,1886.5052366525297,65.72740996766821,2014
25,2214,2014-09-08,1886.5052366525297,65.78147964708594,2014
26,2215,2014-09-17,1890.820708012013,65.17225239968967,2014
27,2216,2014-09-22,1875.7676983177914,64.22910930010248,2014
28,2217,2014-10-03,1881.2217655108943,63.52416659502866,2014
29,2218,2014-10-05,1890.3192320747662,62.60676312503571,2014
30,2219,2014-10-17,1890.3192320747662,62.663528172725684,2014
31,2220,2014-10-24,1886.6282183838825,61.864634644662324,2014
32,2221,2014-10-31,1888.3177864298398,61.016925690526556,2014
33,2222,2014-11-07,1881.7393260903375,60.296527410823415,2014
34,2223,2014-11-14,1885.6815465324469,59.81118132717362,2014
35,2224,2014-11-21,1885.6815465324469,59.87059915239865,2014
36,2225,2014-11-28,1897.8313887587044,59.126393358977516,2014
37,2226,2014-12-05,1905.7154748265186,58.13423769225318,2014
38,2227,2014-12-12,1913.5312543389189,57.439986495868496,2014
39,2228,2014-12-19,1920.3701648962792,56.79845933860571,2014
40,2229,2014-12-26,1920.9160511495104,55.74215812708816,2014
