,Team,ELO,Year
158,Wolverhampton Wanderers,1835.414234697176,1959
159,Brentford,1295.728521368854,1959
160,Portsmouth,1520.024452967814,1959
161,Crystal Palace,1050.6038729735196,1959
162,Sheffield United,1549.7499026937126,1959
163,Queens Park Rangers,1238.939735303453,1959
164,Gateshead,940.7598134470377,1959
165,Blackburn Rovers,1786.174049430929,1959
166,Darlington,989.7554838131687,1959
167,Blackpool,1743.1352384856305,1959
168,West Ham United,1795.8237211879384,1959
169,Rochdale,1093.1233930495448,1959
170,York City,1158.1218203192452,1959
171,Workington,1009.7726834235061,1959
172,Bury,1324.9187026791928,1959
173,Leeds United,1709.4298935709319,1959
174,Arsenal,1737.336659123526,1959
175,Grimsby Town,1350.905887155185,1959
176,West Bromwich Albion,1769.8817504339106,1959
177,Nottingham Forest,1689.5224909008914,1959
178,Barnsley,1310.245627151323,1959
179,Southend United,1228.4724933150246,1959
180,Everton,1711.39417690148,1959
181,Ipswich Town,1489.0894005311573,1959
182,Accrington Stanley,1152.4651508042489,1959
183,Wrexham,1179.6688487488875,1959
184,Bradford City,1253.866498026509,1959
185,Sunderland,1459.5754481542538,1959
186,Manchester City,1688.3096217865912,1959
187,Stoke City,1535.5802476708116,1959
188,Chelsea,1736.9672994106586,1959
189,Rotherham United,1531.7136625689557,1959
190,Doncaster Rovers,1033.5035642255027,1959
191,Swansea City,1512.6211959080936,1959
192,Northampton Town,992.6187008492706,1959
193,Walsall,1130.4226467210071,1959
194,Brighton & Hove Albion,1453.897497914156,1959
195,Torquay United,1047.0170530107812,1959
196,Aldershot,951.7050688564515,1959
197,Derby County,1477.3549071192722,1959
198,Bristol Rovers,1506.7945238038956,1959
199,Shrewsbury Town,1182.0020562976567,1959
200,Crewe Alexandra,996.0149784351502,1959
201,Halifax Town,1230.0720058237375,1959
202,Southport,896.2762844720164,1959
203,Newport County,1251.2858086150502,1959
204,Southampton,1300.0500354702667,1959
205,Millwall,1056.9257715670665,1959
206,Plymouth Argyle,1349.3424593413147,1959
207,Birmingham City,1717.8387767948095,1959
208,Peterborough United,1000.0,1959
209,Oxford United,1000.0,1959
210,Cambridge United,1000.0,1959
211,Hereford United,1000.0,1959
212,Wimbledon,1000.0,1959
213,Wigan Athletic,1000.0,1959
214,Scarborough,1000.0,1959
215,Maidstone United,1000.0,1959
216,Barnet,1000.0,1959
217,Wycombe Wanderers,1000.0,1959
218,Macclesfield,1000.0,1959
219,Cheltenham,1000.0,1959
