,index,TimeStamp,Rating,Rd,CalendarYear
0,2189,2014-01-03,1967.7554529859724,56.449007897324115,2014
1,2190,2014-01-10,1967.7554529859724,56.830047945827936,2014
2,2191,2014-01-14,1970.8116454511207,56.79365385991983,2014
3,2192,2014-01-24,1962.6001282984123,56.44144368315102,2014
4,2193,2014-01-31,1965.0849068769828,56.475606400112376,2014
5,2194,2014-02-04,1951.5043220114594,56.315101006940495,2014
6,2195,2014-02-14,1946.7809581202175,55.64815101947955,2014
7,2196,2014-02-21,1946.7809581202175,56.03463773418598,2014
8,2197,2014-02-25,1950.2929481180186,55.96545628840209,2014
9,2198,2014-03-07,1950.2929481180186,56.349766541824614,2014
10,2199,2014-03-12,1955.1939069611694,56.155297320424076,2014
11,2200,2014-03-21,1943.751777512691,55.88351617911771,2014
12,2201,2014-03-26,1939.5406283356833,55.020777020302376,2014
13,2202,2014-04-04,1942.7808363464194,54.99646349980972,2014
14,2203,2014-04-11,1948.4086979221038,54.791107018407615,2014
15,2204,2014-04-18,1948.4086979221038,55.18359702810352,2014
16,2205,2014-04-25,1939.8122489166685,54.894262906807676,2014
17,2206,2014-04-29,1942.4960537363643,54.9294156487241,2014
18,2207,2014-05-07,1930.7633841473707,54.62463990120395,2014
19,2208,2014-05-11,1928.193384030288,54.41904199577257,2014
20,2209,2014-08-08,1928.193384030288,58.98652152066639,2014
21,2210,2014-08-10,1928.193384030288,59.3512710921618,2014
22,2211,2014-08-20,1912.3239115593142,59.17440313932958,2014
23,2212,2014-08-25,1908.355918511101,58.842328676470935,2014
24,2213,2014-09-05,1904.113544867237,58.54298694157845,2014
25,2214,2014-09-08,1904.113544867237,58.91048307086393,2014
26,2215,2014-09-17,1907.3892383589666,58.81521159261426,2014
27,2216,2014-09-22,1894.7775323660462,58.43757921738708,2014
28,2217,2014-10-03,1899.1887107202765,58.236525513566924,2014
29,2218,2014-10-05,1906.839782730507,57.843012574645215,2014
30,2219,2014-10-17,1906.839782730507,58.21492811292551,2014
31,2220,2014-10-24,1903.3668581308061,57.897189771387595,2014
32,2221,2014-10-31,1904.5269034614137,57.50343842519134,2014
33,2222,2014-11-07,1898.5413259366176,57.209617837241744,2014
34,2223,2014-11-14,1902.0160401600997,57.12317935716575,2014
35,2224,2014-11-21,1902.0160401600997,57.499751536511475,2014
36,2225,2014-11-28,1913.2547853665783,57.1463875140162,2014
37,2226,2014-12-05,1920.481677428167,56.580490290502496,2014
38,2227,2014-12-12,1927.7493729830887,56.257384189653656,2014
39,2228,2014-12-19,1934.4145825611718,55.9670885219805,2014
40,2229,2014-12-26,1934.6207880440436,55.288628546919156,2014
